#node1	node2
Q15906	Q9Y265
P68400	Q9UKI9
P13232	P23458
P35222	P45983
P10451	P16144
O15126	Q05086
P48357	Q13007
Q13315	Q9HCK8
P04080	P18146
P06213	P23467
P51617	Q15654
Q13315	Q3MIT2
O75964	P03928
O75791	P63244
P42830	P51681
P01241	P27361
P36896	Q96S42
P15884	P24385
P46776	P83881
P52564	Q9NPH3
O95373	Q9Y4K3
P07101	P14416
P32121	Q6IF36
O43524	Q8IXJ6
Q5VTB9	Q969T4
P11274	Q9ULV8
O43639	P51116
P54253	Q8N8B7
P01241	P01589
P11802	P47897
P68400	Q8IY92
Q13753	Q16787
Q04771	Q15797
P16619	P46092
P38919	Q96Q15
P04049	Q8WYR1
Q08211	Q9NX58
O43915	Q02763
Q86Y56	Q96T60
51776	Q8N184
P36897	P49703
P15170	Q13588
P05067	P29992
P11217	P62158
P26641	Q8IXM3
P60602	Q13158
P58107	P62330
O14745	P47900
Q01130	Q13151
P18887	P68400
Q92599	Q99961
P01571	P15260
Q96MX0	Q9UI14
P07910	Q12906
P45880	P60709
Q01201	Q12824
P56199	Q9Y6N6
Q01113	Q969D9
P12956	P18669
P49642	Q13114
O60684	P05386
P62316	Q16695
P35243	P43250
P42858	Q13127
P52735	Q16620
O75478	P61964
P05556	Q96P44
O00459	Q05513
P53350	Q5T280
P12980	Q9UPN9
O43147	P21246
O95487	P19174
Q9UPR3	Q9Y2T4
P25774	P48594
P10826	P43354
P46777	P49207
P46781	Q9UKV8
Q6FI13	Q9UKV0
P30559	P61586
O14641	Q13618
Q8IWX8	Q8NAV1
O00159	Q9P2S5
P78368	Q9Y5P4
P12956	Q13426
Q7Z2T5	Q9H1D9
O75592	P01106
P30530	P62993
P0CG47	Q13155
P51843	Q13573
P52630	Q00978
O75159	P23458
P46379	Q16891
P62987	Q9C0C9
Q16666	Q9ULZ3
P38398	Q13085
P31785	Q13261
P38936	Q96FW1
O15379	Q99880
P10909	P98164
Q15043	Q86WV6
P68431	Q96T88
Q04771	Q86SG6
P27348	P42345
P49336	Q9UHV7
P22314	Q9Y385
Q5JR59	Q99661
P49841	Q92569
P61758	P62714
O15131	Q96EK6
P16104	Q9NPF5
O75578	P56945
P46937	Q9Y297
P22392	P28070
P30405	Q02156
Q01844	Q9Y6E0
Q7Z5H3	Q96L33
O00459	P55211
P05386	P83731
O95777	P42898
P01570	Q00653
P11362	Q6S5L8
Q12933	Q96EK7
Q13573	Q8WUM4
P20340	Q13315
P39748	Q96FI4
406961	P31749
Q9NRR5	Q9UM22
P0CG47	Q05195
P31942	Q9Y6E0
P41567	Q99613
O75821	P04183
P63215	Q08462
O14964	P84022
Q14BN4	Q3ZCQ8
Q8N7P3	Q9Y5I7
P04049	Q13177
P05112	P15509
P25205	Q13416
P16144	P56537
P17028	Q15047
O75376	O75446
Q8WV22	Q9NXX6
O60343	Q96SN8
P08151	P24941
O60674	P51677
Q07157	Q9BQE3
A0JLT2	P25963
P01861	P42226
P59768	Q08828
O60262	Q13936
Q7RTX0	Q8TE23
Q15397	Q86YV9
O75116	P19105
Q07889	Q92730
Q8IUC6	Q9UMX0
P0C5Z0	P23527
Q8NFJ9	Q9Y613
P55795	P63104
O95218	Q01130
Q96JK9	Q9UBG7
Q9NWA0	Q9P086
P06493	P0C1S8
O00206	Q9BT09
O14965	Q7Z5Q1
O95402	Q9BQ39
Q08554	Q8IY92
Q9H1A4	Q9NZH5
Q15648	Q9NX70
P12004	P43246
Q16539	Q9NQU5
O14920	P98177
P32121	Q96JQ0
P05771	P51817
Q7Z434	Q99558
O95427	Q9H1C4
P49902	Q9Y5B8
P35658	Q9UMR2
O14775	P35372
P05423	P19388
P55160	Q7L576
P18146	P54762
P26358	Q9NPF5
P62136	Q9BUA6
Q14919	Q9HCE6
P01106	Q9BRX2
P02452	P16144
P01562	Q00653
Q14626	Q9NYY1
O43255	Q9H422
P19634	P22612
O14933	Q96EQ8
P62760	Q5VTD9
P11940	Q9HCJ0
407021	P25490
P04406	P62258
O60508	P22626
P98194	Q9Y219
P59768	P84996
P51654	Q9Y6F9
P14778	Q9Y3B3
P61981	Q99550
P08648	P10451
P40337	Q9P031
O75925	P10275
P04198	P33992
O43524	Q9UGJ0
Q99877	Q9UPS6
P38405	Q8NGV6
O95479	P01106
P29475	Q9UQM7
P01583	Q9Y239
Q96A32	Q9H1R3
P67870	Q13111
P05129	Q01959
P30281	P49918
P04183	Q9UJX2
P04637	P17028
P09651	Q92561
P31749	Q99683
P01241	Q7L2H7
P31749	Q96IZ0
P30153	Q8IZS8
Q8TDY2	Q9BWU1
P63279	P78364
P22694	P50993
Q86WV6	Q92985
P01106	Q96AG4
P48058	Q13224
Q96HR3	Q9BWU1
P00167	P04798
P22392	P31939
P51149	P62491
O60266	P51817
Q5T5P2	Q9NRX4
P68104	Q15796
Q01804	Q13418
P16220	Q04743
O15234	Q9BZI7
P17612	P54646
Q99459	Q9BQE3
P18754	Q13509
P38432	Q9UNH7
P08107	P08729
Q9BQY4	Q9NX55
Q7Z6G3	Q9HC98
Q96L14	Q9P2A4
P07766	P16333
P00450	Q16665
Q16254	Q9H211
P35609	Q9UBN4
O14904	P56705
Q8WUM4	Q9UNY4
P10721	Q9HAU4
Q9UJU2	Q9Y265
O14717	Q7L5N1
P17252	P42574
Q13315	Q96RU2
Q14686	Q6ZW49
O75626	P54253
P33993	P55201
P48729	P49841
Q86U86	Q969G3
O75688	P55072
P23458	Q9HCK5
P38405	P58170
P32121	P58180
P46779	P62913
P08138	P15692
P08238	Q99460
O15294	P25942
Q96DI7	Q9Y333
P63104	Q9P2J5
P20226	Q9Y230
P05771	P63218
O43255	Q9H2X6
P07900	P09769
P09382	P63104
P35226	Q5T3J3
O00273	Q15751
P46108	Q05397
P20337	Q13485
P12980	P14406
Q8IYB3	Q9BZI7
P08238	Q13546
P16220	P30281
P35249	Q13547
P25786	Q9NXG2
P54257	Q13501
P49459	Q00987
P62266	P62753
O00267	O43781
P38405	Q96RB7
Q16531	Q96BN2
O14656	Q96NW7
O60238	Q07817
P15056	Q04759
P39019	P62847
O00482	O60869
P25205	P53355
O95477	Q9HAP6
P01112	P05129
Q13322	Q99558
P26368	Q8IZL8
O00429	P16298
O60566	P56524
P12318	P59901
Q7Z434	Q8IWA4
P51946	Q00534
P01116	Q9UM73
P02766	P41743
P35580	Q13464
P29459	Q00653
Q01094	Q13547
P27930	Q04206
Q96MG7	Q9NXX6
P04628	Q14469
O75439	P27448
P28069	P37231
O75694	P01889
P10415	Q13323
P00519	P07437
Q00610	Q14919
P31749	P62140
P32121	Q8NGE7
Q13415	Q99816
P40337	P46783
O14965	P49450
P19838	Q04206
P03956	P42830
O00743	O43318
P17096	Q01844
Q9UNS2	Q9Y4E8
Q5QNW6	Q92769
P32121	Q8NH60
Q13077	Q8IUC6
O00329	P36888
P08572	P26010
O75140	P01106
Q12933	Q9NP84
406991	P43246
O15127	Q11203
O15399	P62140
O00217	P03915
P14649	P63261
O14625	P46092
P83436	Q9UP83
P27361	P61952
O75365	Q9C0B7
P09936	P56537
Q86US8	Q9Y5P8
P12318	Q9Y6Q6
P03923	P56556
P22681	P61981
P01569	Q8N6P7
O15524	P10914
P37173	P62714
P35626	Q8NGZ5
P01106	Q02127
O43561	P29350
Q15653	Q15750
P06756	P46109
O00206	P01106
P48634	Q14157
Q8TEW0	Q9NQ66
P42262	Q13315
O14610	P48039
P21802	P62993
Q8TB61	Q9ULC4
O15479	P47914
P51991	Q00839
P18848	Q9NR55
P35222	Q13761
O43353	P34931
Q9H4B6	Q9UGP4
Q9NPI8	Q9NW38
P19174	P42768
Q02045	Q13464
P84243	Q9UNL4
Q96JB5	Q9Y3C8
P62140	Q02156
P63092	P63218
P06213	Q15389
Q96DU9	Q96EP5
P46527	Q16513
O75367	P15336
P05556	P10451
P46937	P63165
P32121	Q8NGR5
O75051	Q92730
P23246	Q13573
P18146	Q06546
O00212	P98171
O43924	Q8IW50
Q8N806	Q9P0U4
O15520	Q02763
Q02790	Q9Y572
P12980	P17542
Q13136	Q86W92
P58401	Q8N0W4
P15692	P35968
P09912	Q00978
P02787	Q92900
O75891	Q8NEV4
Q92692	Q96NY8
Q13315	Q92802
Q16659	Q8WU39
P01571	Q08334
A1L3X0	Q07869
Q13873	Q7Z4P5
P60174	Q15047
Q9Y2Q3	Q9Y5Q9
O15144	O15145
O76081	Q9UI30
P28482	Q05923
P23416	Q9NPR9
Q92934	Q9Y243
Q01201	Q96GM5
P68104	Q15843
Q13555	Q70SY1
P35626	Q8N148
P55211	Q07817
P48357	Q9Y4H2
P08138	Q9Y467
P10071	P49674
P13010	P52294
Q8NEA6	Q9UMX1
O00231	Q15796
P02452	Q9HCN6
P02545	P16104
100126334	P24941
O94817	Q99750
P10909	P62993
Q14790	Q9Y6K9
P62158	Q9BQ83
P13995	Q9Y6F1
P01571	P31785
Q01094	Q9UIK4
Q13315	Q9NQS1
P17948	Q9Y371
P53671	Q13153
O60603	P38646
P10415	P45983
P06239	P42338
O15524	P40763
Q969H0	Q9Y6Q9
P42677	P62280
P41182	Q9UQL6
Q16539	Q9BRR9
Q8IWF7	Q9Y508
P06396	P21796
O14561	O43678
P24394	P42226
P51617	Q13148
Q13797	Q9Y490
P01024	P40337
Q15287	Q9GZR7
P61586	Q02045
O43561	P18031
P13805	Q9HAU4
P05067	P23142
P05090	Q9Y6E0
O00459	P01133
Q13936	Q9P2W3
P07333	Q15389
O60684	Q00978
P22694	Q9NPA1
P08670	Q99961
Q8NG31	Q99459
P61952	Q92633
Q9H2G2	Q9P1A6
P11233	Q3MIN7
P38405	Q8NH90
Q07820	Q9UMX3
P39023	P49207
P01243	Q7L2H7
P42338	P59768
P09603	P10721
Q12933	Q9UHD2
O94818	P43364
O75351	Q9NZZ3
P05386	P47914
406919	P54253
Q13535	Q8IYB3
P05783	Q9Y5B8
P02652	P41235
P35916	Q9NP95
O94868	P55072
P55157	Q9UBS5
Q15047	Q8N5U6
Q8WV22	Q96MF7
Q02447	Q9HBE5
P41235	P49848
P24928	Q8N7H5
P35249	P40937
Q6WCQ1	Q86UA6
P41594	P63098
P62136	Q8TEY5
P09874	P16403
P25963	Q8IUD2
P28702	Q03181
P19105	Q14164
P01106	P50749
P27694	Q13472
P50991	Q9GZX7
P53365	Q96EV8
Q969K3	Q96EY1
P43403	P46109
O15264	P12314
P12931	P13987
P17301	P78509
P36897	Q96LT4
Q96FW1	Q9UFF9
P23229	P29400
P02751	P05556
O14936	Q9Y2J2
P05198	P17252
P17947	Q15744
Q8NI28	Q99459
Q8IUE6	Q99879
P20671	Q12830
P49917	Q9H9Q4
P41182	Q9NR96
P05113	Q13261
O15162	Q9UBP5
Q13753	Q9UKX5
O60516	P42345
P30153	P53041
P19419	P27361
O15264	P45985
P61289	P62195
P25054	Q9UJU2
Q13315	Q5SRE7
P29459	Q01113
O15111	P45985
O43809	Q9UHD1
O00220	P01730
Q13496	Q9C0I1
Q6FHJ7	Q9ULV1
Q16643	Q6KC79
Q5JY77	Q6RW13
P18564	Q9Y490
Q96S55	Q9NS91
P34903	P54257
P16871	P30086
P00519	Q13191
O95467	Q9UBY5
Q96HA7	Q9NVP2
P53778	Q16690
P10914	Q9BQI3
Q13620	Q86VP6
O75251	Q86Y39
P38405	Q8NGQ5
O75674	Q9NP72
P16520	P35626
O00212	P42331
P42224	Q04206
O15379	Q04206
P01308	P22607
P18146	Q9BYV1
A4D0S4	Q05397
P01112	P55196
O15519	P45983
Q13216	Q16531
P31946	Q07866
Q06413	Q92905
P52735	P61586
Q15365	Q9H2H8
P41235	Q12778
P32121	Q8NGF0
O00463	Q16584
Q96Q15	Q9Y5S9
P26572	Q16659
P42701	Q9GZX6
Q00535	Q8NEB9
P29353	Q13526
P08151	Q9H9S0
P0CG48	Q9UNE7
O15379	P62807
O60814	Q9BY41
P10124	P10144
O75928	P61244
P17844	Q14164
P09471	Q08828
P01106	P13804
P51677	Q99616
Q7L190	Q99961
P04004	P26012
P19876	P25025
P61981	Q8N122
P16234	Q9Y6I3
O75367	P56524
O14807	Q96PV0
P28290	P62258
P22528	Q15853
P0CG47	P13569
P54259	Q9UBX5
O43889	Q92624
Q96EZ8	Q9NPJ6
P05771	P14679
P49207	P62633
P07948	P10721
O14640	O14986
P07948	P12314
P01112	Q96PV0
P23258	P27986
O43707	Q9UI47
Q15834	Q9BSW7
P03372	Q12824
O15264	Q9HAV0
P22694	P48436
O60353	Q92765
O14757	Q86UE8
P04406	Q13432
Q8WXS5	Q969Q6
P56645	Q5TA89
O14920	O43187
P01889	P43628
P20020	P62258
P50148	Q99677
Q13501	Q8NEY8
P09486	Q9NY15
P14866	Q92956
Q15080	Q15759
P84022	Q13642
O15055	P18146
Q9HAV0	Q9Y572
O14827	P63215
P01730	P51681
P30504	Q15691
Q96AH8	Q9Y4K3
P23759	Q15788
P25686	Q13485
Q96KK5	Q99877
Q8IYD9	Q9UGN5
O75800	Q13489
P43657	P63215
P55210	Q8WUI4
O96019	Q9Y5K5
Q01201	Q03164
O14950	P35579
O15198	O43541
Q02447	Q92819
P17181	P29459
O00255	P17535
P26010	P63261
O75367	Q13547
P38484	Q8IU54
Q06609	Q96BD6
P05113	P42229
O60884	P62805
O14920	P34931
P42858	P78352
P06748	P10914
P01569	P31785
O00472	Q15306
O75159	Q01344
P08172	Q9UBU3
P06729	P19256
P01236	P26992
P08754	P33765
O95757	Q15853
P06748	P62258
Q00839	Q15366
Q14CS0	Q96JH8
P05412	P32519
Q15102	Q5UIP0
Q5T5P2	Q9NQT4
Q8WVX9	Q9BUV8
P10275	P11926
P28799	P46109
Q8IY92	Q9BQ83
Q13683	Q9NVD7
P68104	Q5VVJ2
Q15554	Q8IY92
P19838	P53779
O00571	P06730
P62805	Q969G3
P49757	Q9UM47
P04150	Q12888
P42330	P43364
P01178	P16333
Q13425	Q15303
O00212	Q04771
O15085	Q14161
P41743	Q9NRA0
P39656	Q16659
O43293	Q02045
O43707	Q92738
P0CG48	Q9H0E2
P46013	Q9NS87
P43146	P63173
P16520	Q13698
P62241	P62753
O14964	Q9NZ52
574455	P03372
P62993	Q7Z6E9
P63104	Q15393
P19474	Q13309
P37837	P56537
P05014	P15509
P22455	Q92569
P42226	Q9UHD2
O15197	Q15768
P01275	P43220
O43318	P41252
Q93009	Q9HBZ2
P05187	P63165
P04637	P27701
P32242	Q99750
P31946	Q96JH8
O95999	Q04206
P01106	Q7Z5R6
P06400	Q92769
P07384	Q14494
Q16637	Q8N6T3
P10606	P11171
O60603	P68371
P23634	Q13976
O60231	Q92620
P03372	Q13547
P01871	Q06187
Q9NP79	Q9Y4K3
P62745	Q92608
Q13702	Q9H8Y8
Q8IX03	Q8N878
P62316	Q9H840
P01215	P01222
P63098	Q99683
P09471	Q9Y272
O14986	P42768
P08621	P84022
P38936	Q7L5D6
P04839	P32519
P30480	P61077
O00629	P63000
Q9UJX2	Q9UJX6
P01100	P17861
O14910	O14936
P06703	Q9HB71
P27361	Q9UBI6
O00422	Q96ST3
P01106	P25490
P35916	P98077
P26010	Q05397
P25054	Q8IVI9
P18146	Q03181
O75554	P0CG12
P62993	Q8WU20
Q12874	Q99459
P28221	P50150
P60763	Q92569
Q86UD3	Q96LR5
P35611	Q9GZQ8
P01871	P20273
P61254	P62829
P30504	P61769
P32121	Q8NGE8
P33764	Q92796
Q96MT3	Q9HAU4
O75150	Q9GZS3
Q99459	Q9UHB9
P23258	Q96CW5
P51817	Q8NFM4
O43556	Q92629
P62979	Q9BXM7
P33981	Q6WCQ1
O75578	P06756
Q86TI0	Q9UGI9
P35638	P49715
Q13432	Q9NXU5
P49913	Q99572
Q99835	Q9ULC3
P42338	P63096
P49842	P62487
P07814	P07900
O00571	Q00653
9757	Q13315
P35638	Q07889
O75888	Q02223
P50914	P83881
P18848	P36873
Q9BYG4	Q9NQ66
P17081	Q9P107
P40189	Q99650
Q15834	Q8TAU3
P01236	Q9HBE5
P02768	P49792
P07384	Q96PE3
P14866	P63104
Q96PN6	Q9P2W3
O14640	Q15334
P04637	P49815
P0CG48	Q92783
P22626	Q15428
O60437	P12757
Q15172	Q86YF9
406957	Q15796
A6NMX2	P78344
P00519	Q9UJT2
P42261	P62140
P40763	Q13950
O15379	Q96KK5
Q9H211	Q9NZJ0
P22090	P62244
Q5JWF2	Q96PN6
Q8IZI9	Q99650
O00220	P25445
O75815	Q03252
O00571	Q99459
P07996	P18084
P45984	P84095
O94805	Q8TAQ2
P09661	Q7RTV0
P36542	Q9NY33
P01111	P45984
O60262	P22694
P84243	Q14781
Q00013	Q96RT1
P15311	Q14164
Q8IY92	Q9UHW5
P35222	P42336
P62195	Q9Y5K5
O43439	Q9Y618
O75928	P51610
P07333	Q15717
P84090	Q96ID5
P01567	Q5VWK5
Q9HAW0	Q9NXE4
P43405	Q6ZUJ8
Q8N1F7	Q9Y478
P51654	P56704
P01106	Q14204
Q13315	Q92993
O15530	Q9H8T0
Q9UBC0	Q9Y261
P43243	Q15233
P62910	Q07020
O15520	P22607
O00144	Q6FHJ7
P22626	P62258
P41595	Q13424
P00338	P63104
Q13387	Q9UBS0
P27816	Q8TDR0
P21860	P52757
O95405	Q15038
P19235	Q16619
P15172	Q13547
P01106	P15924
P42677	P62266
O60732	P35269
P12956	P49917
P46108	P51816
Q9C000	Q9HC29
Q13315	Q9BVW5
P06241	P07766
Q92989	Q9NV70
P0CG47	P23246
P13569	Q5SW79
O94817	Q969H6
O43463	Q09028
P01106	Q8N163
P08588	P63096
P04637	Q9BX70
P25963	P27986
Q01974	Q13467
P0CG47	P52735
Q15759	Q9BY84
Q13885	Q8TDR0
Q9HB71	Q9UET6
P03956	P35222
Q6IE81	Q8WYH8
P10599	Q86XK2
P48736	Q15303
P49841	Q9H254
P23508	Q15019
Q05513	Q13009
P61158	P61160
P09619	P27986
O75381	P50542
P53396	Q14164
P49790	P52948
P60763	Q05513
P35579	Q9Y6K9
Q8N4G2	Q9HCE7
P61201	Q16531
P03372	P29353
Q9BZF9	Q9NYQ7
P22626	P35222
P05387	Q00005
Q13535	Q99504
Q9C0C9	Q9HD64
P62258	Q6PEY2
Q9H4D5	Q9UKK6
O75925	Q15744
P62314	Q01081
P35462	P61952
P25963	Q15418
P07949	Q99962
P40337	Q16878
Q9BU76	Q9H190
P10828	P28702
Q16539	Q9NYJ8
P62328	P63261
P18887	P67870
P25054	Q99741
P29459	P42224
P16234	Q9GZV9
Q13315	Q7L2E3
P11474	Q9NPJ4
P25391	P26006
Q04724	Q13761
P19174	Q9BXT4
P60763	Q96QB1
P17612	P63096
Q15758	Q9HC98
P25205	Q13177
Q04206	Q08211
Q14207	Q9BQA5
Q13748	Q13885
P63104	P63261
P29597	P40763
P01889	P30086
Q9H936	Q9P2S5
P33778	Q6FI13
P55157	Q9H2G2
P46783	P62847
O95714	Q13315
P10275	Q15181
Q99942	Q9BUN8
Q5T3J3	Q99547
Q9NZL6	Q9UBF6
P35626	Q8NGD1
P05783	Q15834
P18206	Q14011
O95433	Q14315
Q92905	Q9UDY8
O15162	P00533
P46937	P62136
P56915	Q9Y261
P19838	Q13490
P00846	P18859
P37231	Q9P2D1
P51114	Q5JVS0
P31749	Q9UBP6
P0CG48	Q9Y2H0
P07947	P35222
Q99558	Q9HC29
P17540	Q5T3J3
P48995	Q03135
Q15139	Q9P212
P56545	Q9UJU2
P20292	Q16873
O95863	Q13153
P21802	Q07890
P20073	Q9H324
O75444	P48436
P49841	Q15828
Q10570	Q15366
Q9BX73	Q9UGN5
P17612	Q14524
P62136	Q01668
P14635	P38398
Q13287	Q13748
Q12913	Q99569
P50148	Q13467
Q13177	Q14161
Q13352	Q96HD1
Q9BZE0	Q9H4A3
O15105	P05121
P26010	Q17RW2
O43633	Q70EL1
Q9H0E2	Q9Y5V3
P52907	P78396
P29350	P48551
P02461	P05106
P22612	Q9HAV0
P17987	Q9P0V3
P17252	Q15139
A8TX70	P06756
P30466	P43630
P35249	P35251
Q16531	Q9UL18
P40198	P43405
P11912	P43405
P36873	Q14957
Q02156	Q07157
P48736	Q05513
P25786	Q15834
P42574	Q01094
Q92841	Q9NQT5
Q05513	Q9NPB6
P15622	Q08379
P08134	Q96QB1
P62877	Q96EF6
O15123	P16234
P16152	P30504
Q13546	Q86XR7
P68371	Q96NA2
P84022	Q9Y297
O75084	Q9NQ66
P16188	P30450
P15336	P56524
O14920	P51617
P06127	P20936
P08670	Q96AE4
O95644	Q08209
Q13315	Q9UGK8
Q9H6E4	Q9NRR5
P48736	Q08881
P06401	Q9NR55
P06241	Q92558
P35813	Q5FBB7
Q96P16	Q9Y2Q3
P04156	Q12860
P06753	P68032
O00233	P43686
O75521	P49407
P12081	P24534
406992	P52797
Q9UMS4	Q9UPT5
P38405	P58181
P78527	Q9P2K8
Q07954	Q9UP38
O14925	Q9HAW0
P25445	Q14790
P21673	Q9Y2A0
P05015	Q01344
P16220	Q9BYW1
P24385	Q96ST3
P36894	Q99717
O75400	Q8IWX8
P13631	Q9UKP3
P29350	P40259
P14555	Q6UXH1
Q15648	Q6P2C8
O14640	Q9UP38
P08631	Q92608
P36542	Q9UJM3
P45973	P51532
Q9BVJ7	Q9UBC3
O95433	P42684
O60729	Q9BS18
P01106	P62191
P38936	Q16665
P16520	P28222
P14868	P62993
P61927	Q07021
P51946	Q07869
P00533	Q01970
P21796	Q07812
Q15436	Q9NQW1
O75914	P53350
O15264	P30154
O95402	P81605
O14543	O95786
Q14562	Q9UHR5
P01106	P06493
P01106	Q15233
P19838	Q9Y239
P62258	Q9UI47
Q16891	Q99816
Q14765	Q9UL17
Q9UBU8	Q9Y265
P11171	P13693
O14920	P55210
P46779	P62917
P24723	Q8TAA9
P62136	Q9UQM7
P10275	Q15652
O14981	Q10586
Q13153	Q13233
P00519	Q9UMY4
P16035	P47914
Q92900	Q99459
P62750	P62987
O15541	Q13123
B2RTY4	P0CAP1
P51668	P78545
P38405	Q8NH93
Q07812	Q9HD36
O43927	P51684
Q8TBB1	Q9BQ66
Q86UA6	Q9Y6K9
O75569	P02749
P18754	Q8NFF5
P81605	Q9BT40
O75478	Q16531
P22607	P62993
O96017	Q15257
P51116	Q15834
P62070	Q13393
P04637	Q99728
P25054	Q9P267
Q14573	Q86YM7
O00232	P01106
O94805	P04637
P31943	Q13242
P00533	P07332
Q13163	Q99759
Q9P2H0	Q9Y2X7
O75365	Q15386
P31946	Q7Z401
O95865	Q9BUB5
P25054	P67775
P16333	Q96KQ7
Q5D1E8	Q92844
P17302	P68366
P46108	Q86Y01
P25963	P29475
P62993	Q96DH6
P62330	Q13393
P41743	Q04759
P01892	P61769
P28222	Q9HAV0
P42694	P55854
Q15653	Q99759
O43508	Q93038
O43395	Q15287
Q13315	Q8NG08
P35968	Q9NSA1
P14868	Q92597
P09914	P35222
P13569	P14859
P62877	Q92765
P05015	P78552
Q12986	Q8IYB3
P10644	P35250
P05386	P62906
P84022	Q13573
Q14790	Q7Z434
O75822	P55010
P29350	Q8WV28
Q8TD31	Q8TEY7
P04637	Q8TAQ5
Q8N5R6	Q9Y3Q8
P26010	P35609
Q15019	Q9UHD8
406887	Q92945
P19105	P62140
O60341	Q5FWF5
P16471	Q8IU54
O15062	Q11203
P16144	P17931
Q02779	Q9H0H5
P10275	Q9Y5K2
P54619	Q16822
Q96DE5	Q9NYG5
O96020	P30260
P18065	Q9C086
O15379	Q969R5
O43318	P38646
Q16763	Q99459
P61981	Q6P597
Q12972	Q9Y3C6
O95163	P62195
O14981	P01106
O15151	Q9UER7
P68400	Q15287
O60684	Q9NVS9
P04792	P11413
P84022	Q9UEE9
406937	Q08209
P20618	P49721
P19838	Q15653
P52272	Q12933
O15264	O60262
P02741	P35222
O14776	P42858
O15116	Q9H270
Q71U36	Q96L34
P20618	Q8IU60
P16234	Q07889
O95232	Q9BXR5
P04406	Q99459
Q13315	Q9BY77
P50993	Q13237
P62913	P62987
P27635	P62910
P04637	Q9Y2C9
P53778	P84095
P17844	Q9Y572
Q15691	Q9Y4K3
P19438	Q15008
P50148	Q9NZ20
Q15834	Q7Z2V1
P26992	Q92624
P42768	P46109
Q13315	Q13451
Q96AX1	Q9P2Y5
P42338	P42681
P09012	Q16637
P19532	P55072
P61326	Q969T4
P05161	P09914
Q5T4F7	Q93097
P04271	P04637
P0CG47	Q15653
P78509	Q13683
Q12873	Q9BTC8
O95398	P53779
P14314	Q86YW0
P61962	Q9H2X6
O14737	P61077
P09466	Q5UIP0
P13805	P29622
O60336	P16220
P27105	Q15654
Q13616	Q8TCJ0
P51817	Q9Y691
P30480	P63173
O14965	Q13573
P04156	Q92913
Q9BSU3	Q9BXJ9
P16298	Q13522
P13693	P40337
O95602	Q9Y5B9
Q15369	Q96S21
O75569	P04637
Q8TCU4	Q96KG7
O75746	Q14197
P01106	Q9UNQ2
Q9UET6	Q9Y265
Q5VVX9	Q96LD4
O43353	Q15654
P12956	P36543
P17252	P30086
P09651	Q16629
P04075	P27540
O43809	P01023
P49286	Q96QK1
Q7LDG7	Q86XP0
P62993	Q12906
407026	Q9Y6K1
O15182	Q5T3J3
O60318	Q9NYQ7
406906	Q9H334
Q04743	Q13952
P01571	P15509
P06730	P09651
P52434	Q6PD62
P05141	P45880
P15391	P52735
P41220	P63167
P00533	Q71U36
P16871	P41182
P61421	Q9UG56
O15111	O43318
P24394	P31785
O15287	Q8N2Z9
Q71F56	Q9BWU1
O75159	P42229
Q13573	Q8NE71
O75643	P11171
O15055	Q96EB6
Q00653	Q99460
P0C1Z6	Q9H981
O95167	Q86Y39
P06748	Q99558
Q53HL2	Q9BXS6
P10415	Q9Y243
Q00005	Q5VY09
P08648	P24043
P10588	P24468
Q15834	Q8N302
P16152	Q14164
O00299	P11171
Q13573	Q7L7X3
P62266	Q9UL18
P62993	Q96RI1
P16104	Q9NX02
P98175	Q92624
P67775	Q16589
Q14790	Q8WUI4
P27361	Q9NYJ8
P62136	Q07812
P01589	P05113
Q86UE4	Q9NX58
O75116	Q01449
Q16384	Q969G2
P25054	P48729
P12111	P26012
P18859	P56134
P84243	Q5VWG9
O00483	Q86Y39
P08729	P13647
P10451	P16070
P49736	Q9BRX5
O76024	Q16659
P63173	Q07020
P47914	P62987
Q8IU54	Q92985
O60262	Q00722
O14827	O60262
P02745	P27797
Q07812	Q07820
P33993	Q8WYB5
P53567	Q15744
P08100	P63211
Q99750	Q9P0T4
O60733	Q02156
O75494	P61981
P05060	P68371
Q13409	Q96NA2
P56747	Q07157
O96017	Q99638
Q16659	Q9Y3A4
P01303	P11229
Q15233	Q8WXF1
O14827	Q9BZ23
Q92620	Q9BUJ2
O60503	P38405
Q86Y56	Q9HAW0
P01106	P11926
O00220	Q9Y6K9
P05114	P68400
P54259	Q99435
P16104	Q04837
P11387	Q13428
Q13573	Q8IYB8
406900	Q4LE39
P11362	P15692
Q14204	Q71U36
P09429	P23025
P42677	Q99759
P52564	Q9P2K8
P31025	Q13535
P61956	P63279
P12931	P23458
P24390	Q9UHQ7
P09622	Q14197
P61218	Q6PD62
O14950	O60237
O95433	Q9Y2Q3
P36897	Q9NR64
P18085	Q13573
P15927	P27694
P15941	P17931
P42771	Q9UER7
P51679	Q16627
Q99962	Q9NYF0
P08908	P63218
P62241	Q00653
P10147	P61073
406882	P52926
P21283	P62330
O60925	Q99613
Q9H1J5	Q9H237
P10914	P40763
P10275	P34932
O60287	Q16659
O00743	O14965
P32302	P80075
P11229	Q9UBI6
O75937	P84103
O00213	Q06481
P28482	Q9BZM2
P41279	Q05639
Q16665	Q9Y259
O75928	Q99497
P42338	Q9UM73
Q13620	Q92466
P13612	Q01955
O75791	Q9UQC2
Q8N4L8	Q9NRI5
O96013	P52198
Q15020	Q96KG7
P07359	P27986
P56704	Q9H461
P62070	Q07890
