#node1	node2
P49841	Q9UJW3
Q9UBB4	Q9Y6J8
Q3ZCQ8	Q9Y6X8
Q8WXD9	Q9UM73
Q8WUH2	Q9P2Y5
O43900	Q9ULK5
Q01780	Q9NPD3
O15530	Q8TBF2
P15172	Q8IXJ6
Q13535	Q9UKV3
P35626	Q8NGR2
O95467	P51828
P35580	P61981
P36578	P84098
P05455	Q9Y478
P53041	P56945
P06858	Q02543
P22061	Q00005
P12830	P35527
Q86V24	Q9UGI9
P13569	P17612
P01834	P01861
Q96MT3	Q9HAU4
P04150	P04637
P01303	Q9UGJ0
O00231	Q99459
P21802	P46108
P05412	Q01892
P09629	P13010
Q05516	Q9NP79
P06400	Q9UD71
P09104	P27816
P11234	Q96KP1
P62979	Q13315
O00574	P80162
P01106	Q9Y6Q9
P08579	Q15428
P12980	Q2KJY2
P30939	P50150
P51153	Q13485
O15264	P49321
P10809	Q9Y375
O75448	Q9UK32
P14314	P60520
O95500	P56747
P04637	P63162
P78406	Q8NFH3
P16104	P60709
406970	P04637
P13232	P32927
P33552	P68104
P46778	P49207
O75461	Q14186
O75478	Q9NS73
P50453	Q5UIP0
P15509	P60568
Q2NL82	Q9Y478
Q15834	Q9BUY5
P19525	Q9HCE1
Q9UI30	Q9Y5N5
P22888	P29992
P19838	P60660
O75365	Q9NVI7
O00273	Q9HC24
P16871	Q9UJU6
P37231	Q9UBE8
O00141	P30049
P04141	Q04206
P04637	Q66K89
O75015	Q6PI73
Q8ND90	Q8TEW0
O60216	Q8NDV3
P10244	Q9UNY4
P12235	P45880
Q13573	Q96RE7
P17568	Q9UI09
P22301	Q9NNX6
Q9BSW7	Q9BY43
P08138	P42336
O00442	Q9BUJ2
P05114	P22492
P01106	Q7Z4H7
P01303	Q9Y478
P38432	P67870
Q13042	Q99459
P01566	P23458
P41227	Q9H8T0
P27348	Q96F86
P38405	Q8NGP4
Q9NTM9	Q9Y2P4
P16144	P62993
P22455	Q15389
O43242	Q14164
Q12988	Q13432
O60684	Q9GZT8
O95714	P60953
P19838	P25445
P47914	P84098
P04637	Q9NQW6
Q12905	Q99459
P29353	Q9UKW4
P01860	Q9Y6K9
Q01970	Q9P2W3
P01106	P20226
O95251	Q13415
P40429	P62888
O00212	Q8N1I0
P61247	Q8IW19
Q13315	Q14191
P15586	P16333
P26641	P60953
Q13315	Q6PJT7
P62310	Q9Y4Y9
P37231	Q5QJE6
P08047	P36956
P01571	Q8N6P7
P20702	Q02447
P04637	P67870
Q86WJ1	Q99459
Q13099	Q6ZVL6
P33992	Q12905
O75899	Q9UBU3
Q07021	Q7Z6M2
P12980	Q8WWB5
P42680	P52735
P04626	P14923
P35575	P41235
P60568	Q8N6P7
O43157	Q9H3S1
Q96F07	Q9P2A4
P63279	Q14103
Q08462	Q8TD86
O15379	Q93079
P42336	P51451
O00329	O14787
P01243	Q9UKK9
P16118	Q13131
Q5VTD9	Q7Z7M0
P01241	Q7L2H7
O76021	Q99558
Q53TQ3	Q6P4R8
P04908	Q92769
P49790	P78406
P26639	Q13315
O75334	Q99459
P47914	P61927
P68431	Q92993
P62750	Q9UNX3
P27986	P42681
Q8WWY3	Q9H9G7
P62987	Q15034
P35637	Q12986
Q13114	Q9NQC7
O43900	Q8TAA9
O00232	O75832
P61586	Q8N5V2
O15541	O75643
P02786	Q15027
Q99759	Q9H3G5
P35626	Q8NGI7
P36956	P49327
O95433	Q9HCU4
Q16539	Q9UK08
O95167	Q9Y6M9
O14647	P63165
P05014	P48357
P62913	P83881
Q13153	Q9Y463
P12956	P63104
P09544	Q9UP38
P17252	Q01970
Q09472	Q13489
Q08211	Q99873
P62158	Q14318
O00212	P98171
P09326	P29692
P51149	P68363
P15036	Q99684
Q15303	Q9Y371
O15245	P51610
P02462	P06756
P07910	P14866
Q15528	Q9BTT4
O00295	P50222
P19438	P42224
P26010	Q9Y490
P00533	P05023
P10071	Q92630
O75940	Q2NL82
P56545	Q15583
P01106	Q07890
P04899	P08631
P28482	Q16829
C9JDP6	O15551
P49746	Q13797
Q5VWK5	Q8IU54
P45984	Q15256
P02686	Q9BUB5
P15018	P15260
O43318	Q8TAM1
P15260	P18146
P21246	Q96CQ1
P21675	Q9NVP2
P02795	Q15139
P48436	P49747
P27635	P49207
P78543	Q9H361
P10070	P48729
P01127	P18146
Q8NAC3	Q96F46
O75935	P49841
P17252	Q9UP65
P26441	Q9HBE5
P06870	P08603
P15918	P46108
P23396	P62263
Q8IWF2	Q8IXB1
P00533	Q01970
P35606	Q13418
407053	O43306
O43493	P46108
P14598	P63000
O43781	Q92993
A6NIT4	Q5VWK5
P06241	Q8IZD9
P49736	Q00534
P10070	Q9HCP0
P24539	Q14197
P29459	Q01344
Q15034	Q9UMX0
P22612	Q13370
P08754	P35372
O60262	Q99677
P09382	Q16637
Q96FX2	Q9UGK8
O00410	Q7Z6M2
O43353	P35579
P06396	P60709
Q7Z7E8	Q9UNE7
P04083	Q9Y600
O43303	Q9HC77
P51679	Q9H2A7
P49286	P62873
Q07890	Q9HBH0
P35626	Q9H209
P25205	Q08945
Q13573	Q9Y678
P63000	Q9NR80
P02794	P0CG48
P78347	Q10586
Q00987	Q86V86
P04899	P41143
P49238	Q9Y258
P46783	Q9BQ70
O75376	P50402
O14920	P51617
P07333	Q9GZP0
O95267	P10301
P18206	Q7L014
P15153	Q96HP0
P04183	Q6UXH1
Q13573	Q9UHX1
O95069	P18146
P14866	Q9BUJ2
P51991	P52756
Q13315	Q15776
O43251	Q9H0E2
P17252	Q9NQA5
P19838	Q9UKB1
P23508	Q9HC36
P56385	Q9HCK5
Q96A72	Q9BZI7
Q93034	Q96S21
Q15645	Q6BCY4
O14974	Q12913
P47756	Q00005
P04637	Q9HB75
O14920	Q12933
P36578	Q00005
P24723	Q96B18
P56706	Q5T4F7
P12757	Q14533
P14210	P21802
P05026	P42338
P11215	P17947
Q99750	Q9UBX3
Q99608	Q9Y679
P68400	Q08945
Q13617	Q9NXV2
Q12824	Q9UJX2
O00443	P04626
Q8NAP1	Q9Y230
P04626	P49765
P17844	P55795
Q13315	Q9NRN7
P18146	Q8WV35
P29323	Q12974
O75578	P53708
P32121	Q8NGC1
Q8IUE6	Q8N257
P23458	Q6UXL0
P38936	Q15834
P49321	P62805
O43521	Q9NP97
Q04206	Q15853
P12755	Q13485
P60709	Q99572
P01106	Q8IZH2
P01889	Q9H9A6
Q99836	Q9NWZ3
P17081	Q96BY6
Q8NBZ0	Q9H981
P05231	Q99665
P01106	Q6XE24
Q9UDY2	Q9Y4K3
O00303	Q14152
P13232	Q99665
O14625	Q04206
P17480	Q9Y265
O15519	Q13490
P07108	Q9BVJ7
Q01094	Q9Y6Q9
P10415	Q06710
Q13315	Q92574
Q15834	Q8TAU3
O95500	P56750
P54257	Q99728
Q9H2F5	Q9Y4A5
P68431	Q8TEK3
Q07812	Q8IVG9
Q9P0M6	Q9UQL6
O14717	Q9BVJ6
O14579	P49662
P50150	Q15147
P48039	P61952
P17542	Q13547
Q00597	Q8N2Z9
P08754	P51681
P24864	P38398
P60953	Q9H0H5
O15111	P35222
Q8IUH5	Q9H2X0
P51817	Q9HAV0
P25025	P61981
O60290	Q96AY4
Q12933	Q9UKL3
P25963	Q9NYJ8
P01584	P27930
Q8NFH4	Q9BW27
Q07889	Q8N264
P48058	Q05586
P49840	Q8N0Z3
O75925	P10070
P26368	P84022
P51681	P62328
P98160	Q14112
P20701	P62834
Q13315	Q96T23
P16871	P63104
Q12857	Q13315
O00144	P09471
O95433	P42684
Q9NZH5	Q9UM13
P13489	P49411
P05388	P62945
P15880	P60520
P01243	P11177
O14543	P15260
O60721	P16333
P49841	Q15154
P46781	Q99558
P05141	Q13077
Q92843	Q92934
P12270	Q96EE3
P04049	Q02156
O94979	P53992
P04406	P06703
Q9H9Q2	Q9UBW8
Q9HCP0	Q9Y4X0
O15335	Q13797
Q86T03	Q92609
Q53QZ3	Q9H4E5
O15194	P01106
Q96CG3	Q9Y4K3
P20585	Q10586
O15111	Q15750
O75354	P49841
O15126	Q05086
Q13191	Q6UXL0
P35626	Q8NGF6
Q9BVC4	Q9Y243
P78545	Q16658
P56748	P56880
P12931	P98077
P31947	Q9BPZ7
P01127	P09486
P10721	Q00610
P61106	Q8TBB1
O75461	Q15910
P28562	P53779
P20809	Q01344
O15111	Q13568
P12956	Q8WU20
P02778	P25025
P22694	P46020
Q9BWC9	Q9UKR5
O75116	P36873
O00483	P56556
P12004	P28715
P52564	Q12852
P20700	P41219
P29034	Q00987
O43293	P40429
Q00597	Q9H5J4
P63279	Q9Y4E5
Q13404	Q99942
P18846	Q53ET0
O60840	P08754
P24941	Q13112
O00487	Q5VTR2
406957	Q8WYQ5
Q01780	Q99828
Q96EV8	Q9UL45
407046	P56817
P61981	Q7L576
P00533	Q05397
P55196	Q9NSI5
Q15797	Q9NYN1
P13224	Q8WYR1
O14965	P61026
Q9BZI7	Q9Y5S9
J3KMZ3	P27361
O14713	Q9UNN5
P19634	Q96BS2
P16144	Q9UMD9
P42345	Q92569
574034	Q9NP95
O15144	P60709
O60262	Q92633
P27361	Q9UP65
Q04206	Q13464
P55157	Q9BYB0
9757	P46108
O15264	P45983
O95295	P51946
Q92831	Q9UBG7
P08651	P14672
P11055	Q9P2M7
O75964	P56134
P30480	P62330
Q9NQB0	Q9Y265
P02511	Q07817
Q03164	Q9UBL3
Q8N8B7	Q9Y2I6
P42677	Q15628
P29353	Q6WCQ1
P11940	Q13315
Q71U36	Q9UGJ1
A8MTJ3	P59543
Q8N6Y0	Q96CN9
P61088	Q96EQ8
Q86YP4	Q99459
P51668	Q9BYV6
Q15109	Q99836
O60264	P62805
O15105	P01579
P10826	Q15796
Q16512	Q9P212
O75143	O75385
P62136	Q8NG31
O15530	P27348
P14416	P50150
P35968	Q15389
P10745	Q16600
P46776	P61254
P01574	Q01113
P01566	Q14653
O43294	P84022
P06400	P30279
P13010	Q96PK6
P01106	Q9ULJ6
P07858	P60903
O14640	Q8N752
P32121	Q8NG81
P52797	Q9UF33
O15530	Q8WYR1
Q8NFD5	Q92925
P42331	Q92730
P00519	P09619
P11142	Q13233
Q8NFP9	Q9NWF9
O00267	Q99873
P26006	Q13797
P04271	Q00987
Q9Y5W5	Q9Y6F9
Q5D862	Q9UL18
P46778	P61353
Q71UM5	Q9Y6K9
P54577	P60520
P56524	Q71UI9
Q08211	Q8IYB3
P05106	P18827
P04156	P22626
406901	Q9UKV8
Q96B97	Q9Y371
O95741	Q14451
P47914	P62906
Q14738	Q9Y698
P09038	Q14512
P19532	Q5ST30
O95169	P03923
P62136	Q96BA8
407025	P27986
Q05586	Q15147
O95163	Q14204
O14610	P08173
P32121	Q8NGF7
P38405	Q8NG81
P80303	Q9Y6D5
O96008	Q9P0U1
P17612	P52566
P42338	P52333
P18669	Q14203
P50549	Q16659
P01137	Q13018
O15400	O15498
O60739	P27695
Q15771	Q15797
Q5T4F7	Q9H461
P11171	P25786
Q86Y13	Q9NQZ3
Q93079	Q9P0M6
O95477	Q9HAP6
P37802	Q9H1Y0
P51679	P78556
O14610	Q08462
P53621	Q13573
Q14008	Q9Y6A5
Q8WUQ7	Q9UBC1
Q5T5U3	Q9H4E5
P67870	Q9BV38
Q07960	Q9HBH0
P27986	Q9ULW0
O14757	Q8WXE1
O43306	P50151
Q15303	Q96PU5
P04637	P17028
O14933	Q8N9I9
O60739	Q02543
O14920	Q15750
P27708	Q12933
P15153	Q92558
P15509	Q9NPH9
P23508	Q14697
P19174	P62993
P12956	P20827
P07202	P26951
O43809	P29353
P25789	Q9BQ83
Q99814	Q9NWT6
P16333	P31994
P46734	Q13177
P49459	Q8N726
O60925	Q5R3I4
O00238	P36897
P34932	Q9NX09
P35222	Q13485
Q86U86	Q9P2D1
574411	P14174
P46527	Q16513
P41182	Q9HBW0
P23528	Q12792
Q53T94	Q9H9Y6
Q12851	Q13233
Q96B02	Q96P09
Q15653	Q9GZS1
P13945	P25098
P09471	Q13936
P01871	P20273
O75925	Q16527
P08754	Q8NFM4
P07437	Q99836
P28482	Q9BY84
P35462	P50151
P11388	P23511
O60840	P06241
Q15029	Q9Y478
Q9Y3T9	Q9Y5V3
P06400	Q9BT22
P05014	P23458
Q06187	Q9H204
O43683	Q9GZM8
O75438	P03891
P01106	Q9Y5Q9
Q08945	Q14566
O14763	Q96P48
P52907	Q99459
O15131	O75521
P00519	P29074
Q96ID5	Q9Y2J2
P35626	Q8NGT0
P05771	P62070
P22392	P41227
O15111	Q15653
A4QPH2	Q92624
O75815	Q15365
Q9NPB6	Q9NWS0
Q9BRQ0	Q9Y4A5
O60508	Q9BUJ2
Q86WV6	Q92990
O00471	P78344
Q9H8T0	Q9UJC3
P84098	Q92901
P31947	Q99683
Q5VVX9	Q9C035
P05019	P24593
Q6IQ23	Q9BVG8
P13498	Q15759
P24539	P40337
P57678	Q9BQ83
Q8IXM3	Q9BUV8
P62714	Q06432
P48556	Q9BRP4
Q01844	Q96AQ9
O15264	P19338
P08514	Q16363
P62280	P62847
P49238	Q07325
P51681	Q16594
P38405	Q8NGP6
Q09028	Q99459
O14757	P04637
P52565	Q01844
Q8IXM3	Q969Q1
Q01826	Q13547
O60296	Q16445
P22612	P27361
Q16514	Q8NEM7
P07202	Q9UHF4
Q02930	Q16566
Q13315	Q92922
Q96AY2	Q9BQ83
P51532	Q68CP9
P53778	Q16082
Q07820	Q13526
P51965	Q6UWE0
P29460	Q99650
P17980	Q13200
Q15907	Q6WKZ4
O00329	P29597
P23458	Q92783
P35908	P84022
P49747	P56199
P25786	Q15008
P01889	P28072
P14778	Q99759
P49841	Q92997
P23396	Q15628
O95837	Q01970
P35240	Q9Y2J2
O95257	Q12824
Q13242	Q9BUJ2
P32881	Q99650
P50053	Q9H6Z4
Q8IWZ8	Q8IYB3
Q15796	Q96RN5
P04629	P08575
P32121	Q9H205
Q99759	Q9UBK9
Q75N90	Q9UK32
P16333	Q8TB24
O95400	P22626
O15530	P51812
P49336	Q9BTT4
P42025	Q16659
P38405	Q8NGR5
P06241	P20916
P06702	P60953
Q14185	Q15744
P61981	Q13427
P52209	Q9Y4K3
O14593	P33076
P16402	Q13185
P09601	Q16236
P31270	Q03164
P04350	P16871
P17252	Q12802
Q15831	Q9Y478
Q96NE9	Q9H175
P04264	Q00005
P01111	Q13772
P42224	Q02556
P00533	P46109
O60603	Q8IUC6
P15121	Q14164
O60359	Q00005
P30679	P43088
P41182	Q9ULK4
Q92783	Q9H204
Q9BQE3	Q9NRH3
O00463	Q13490
O15162	Q96H86
P12931	Q86X10
O43913	P25205
O15226	P30519
Q13683	Q9Y4G6
Q13043	Q8WWW0
Q13185	Q9UER7
P14174	Q9UET6
O00238	Q5T6F0
Q8WUI4	Q99879
P30405	Q9H0C2
O60739	P62854
O15297	Q13315
Q15172	Q8WXS5
P04637	P62979
O43353	Q9Y6K9
P07910	Q01130
Q6VN20	Q9C0I4
P61586	Q9H8V3
P00519	Q86SG6
Q96CV9	Q9Y4K3
P18146	Q9Y6Y0
P30153	Q00653
P51817	Q02750
Q96Q15	Q9H0W8
O14920	P01375
P55854	Q8NCA5
Q8IXI1	Q9H0H5
P01100	P10276
P62993	Q92988
P26232	P68032
Q04206	Q13576
Q12988	Q15047
406882	P01111
Q13573	Q14683
P19174	Q9UP65
P04629	P29350
P51686	Q07325
P62324	Q9H361
P42224	Q13557
P06756	P49747
P27482	Q13972
Q9HCS4	Q9UBE8
P06401	P27986
120329	P55211
Q02641	Q13362
P63000	Q9UQB8
P12931	P42336
P49023	Q12913
P55735	Q15437
P40425	Q9H7B4
P32121	Q8NGU2
Q86WG3	Q9UNE7
P09471	P35462
Q02156	Q16236
P35606	Q9UKE5
O75791	Q9ULH1
P08047	P42858
P16298	Q14934
P08514	P12931
Q01081	Q08170
P43364	Q9Y2X8
P15153	Q9NPB6
P28749	Q9ULA0
P61313	P62891
P42858	Q9Y3C7
O14777	Q8N6Y0
P67775	Q9BXT2
P40763	Q00535
P06213	Q9BX66
Q01130	Q92620
Q13315	Q6STE5
P24928	Q9NWA0
P08238	Q9Y2Z0
O96006	P07602
P63146	Q5T4S7
Q15561	Q9UJU2
O00744	Q9H237
Q96B02	Q9H6Y7
Q9NWB1	Q9Y6R0
O14640	Q9H461
P51398	Q00653
Q13363	Q14526
P04179	Q12778
P56192	Q9BUJ2
P25942	P27797
P45983	P63218
Q14164	Q9UI30
P51116	Q9UNE7
P45984	Q99683
Q9BS18	Q9UM13
P62424	P62888
P30050	P62913
O00501	O15551
P10124	Q5T4S7
P17676	P63165
Q8IWX8	Q96N46
O60262	P17612
O00175	P25025
P18621	P42766
P49720	Q99436
P13196	P61956
P17844	Q99570
P08069	Q9NR46
P16333	Q96RT1
P13612	P19320
P04350	Q04206
P61289	Q15287
O14503	P04637
P22680	Q9Y261
P13639	Q9UGJ0
P47992	P49238
P61353	P62888
C9JDP6	P56746
P31151	Q00005
P48039	Q9UK08
P31751	P67775
P0C0S5	Q9Y5B9
P13498	Q969G6
P45983	Q9UBI6
P07942	P16070
O15111	P10145
P53778	Q9Y6W6
Q02763	Q05209
O15111	P45985
P50914	Q02878
Q15013	Q9P2H0
P62140	Q02045
P52333	Q14289
P05013	Q99650
Q15382	Q92574
P18146	Q13356
P62158	Q9H1R3
P01116	Q5VU43
Q14155	Q15052
Q13087	Q9H1Y0
P61254	P62829
P36542	Q9UJM3
O15111	Q14164
Q93079	Q9BTM1
Q07021	Q9NY57
P25942	Q99460
Q92835	Q96B97
P51946	Q96DI7
P09919	P17181
P20290	Q96BK5
P08631	Q08881
P19525	Q16236
P62070	Q96IZ0
P49736	Q96H20
P16591	P35222
145781	P53567
P27540	P41159
P07333	P55075
Q86XP3	Q9UMS4
O95166	P34903
Q00978	Q14765
Q92621	Q99623
P07437	Q5VVJ2
P51693	Q9UN74
Q9HAW4	Q9UM11
P05129	P22612
Q12933	Q9Y230
Q6FI13	Q99877
P17980	P61289
P49023	Q06124
P01876	Q9UJW9
P61978	P63279
P54274	Q9BSI4
O00505	Q8TE12
P20809	Q99650
O75154	Q9H4M9
P25205	Q13177
P62899	Q9UNX3
P16520	Q8TCU6
P01242	P52333
P14316	Q6P179
P33993	Q92794
P05413	P53350
O15392	O43504
P04908	Q96A08
P35626	Q8NG95
Q8N715	Q99750
P31314	P50553
P10275	Q9Y4B4
O75665	P56537
Q15819	Q9Y4K3
P19387	Q9H3P2
Q8TDZ2	Q9H0U4
P04908	P56524
P14780	Q9Y5S8
P29597	Q8WXH5
O14625	P27487
P52292	Q01201
O43318	O75663
P16220	Q14050
P25685	P54652
P01562	P78552
P01243	P54819
Q15562	Q9HCS4
O75190	P01241
Q6UB35	Q9P2S5
P53805	Q08209
P05129	Q15147
P55072	Q9H0K1
O75791	Q92918
P68363	Q9Y6G9
Q00839	Q13242
P07910	Q8IYB3
P22307	Q13185
P13639	P54646
P08581	P46108
P14373	P63279
P48729	P62495
P63244	P78396
P08134	Q96BY6
Q06413	Q13164
P20618	Q14164
P33993	Q9NY93
407043	Q13153
P30443	P43631
P14784	P52333
P19105	Q9Y4K3
Q92633	Q9HAV0
O00459	P37173
Q13554	Q7Z3S7
O60762	Q92956
P67809	Q8IYB3
Q9H171	Q9UBD5
O75159	P52630
P12236	P19174
P78527	Q86WJ1
P57678	Q15287
P22061	P25942
P55197	Q13315
O15131	P52758
Q99607	Q9NS56
O14561	O95168
P01889	P61289
O15273	O15530
P07355	P07858
P63104	Q13094
P63208	Q9UKT8
P63261	Q9UI47
O75533	Q10586
P01889	P63220
O00487	Q15008
P50570	Q99459
P51522	Q13153
P18146	Q96BK5
407040	P04198
Q9C0J8	Q9P2I0
P23396	P35544
P04792	Q16644
574507	P21728
A6NHL2	Q9NRH3
P50616	Q5JQF8
O43791	O95197
P16220	P81877
P12814	Q8WZ42
P28562	Q01085
P16473	P63092
P57088	Q9Y5J5
Q6P1W5	Q9NRR5
P05112	Q9HC73
Q00610	Q9UKG9
406960	P31751
P14866	Q8IX12
P17693	Q8N109
P25963	Q00839
P50148	Q14500
406891	P01112
P05771	Q01959
Q14197	Q7Z6M4
P28340	P49005
P42224	Q13263
Q14833	Q9HAV0
Q14566	Q9Y4K3
P05106	P08514
P01116	Q13972
P36954	Q13315
P29762	Q13595
P28482	Q14192
P04350	Q15012
P51665	P54252
P26373	P47914
O94806	Q96B18
O15263	P05204
Q16659	Q7L5N1
P15509	P20809
Q8NFH8	Q9ULH1
P01106	Q9NZF1
P19793	P53350
P04049	P05787
Q92616	Q9HC98
O95182	P03901
P17066	P45984
P46108	Q9Y5H6
P12931	P19174
P35080	P68032
P52735	Q12874
P61289	Q16401
Q6VMQ6	Q9HCE0
Q13315	Q9NZJ0
Q13164	Q9BUB5
Q13349	Q9HB31
P05000	P24394
Q92636	Q9H0R8
Q15797	Q8TB52
P52292	Q9UH99
Q14974	Q5TAQ9
P61077	Q96A37
O15297	P19338
P61981	Q96GE4
P04150	P12235
O00257	P46937
Q6FI13	Q9BY41
O75943	P40937
P01903	P48382
P30460	P30504
Q86UP2	Q9HAU0
O95477	P46939
O60674	P00533
O75309	P18146
P10398	P45983
O00459	P42336
O95229	Q14457
Q4VXU2	Q58A45
Q01780	Q9NQT4
Q92993	Q99728
P04406	Q9H0J4
P14672	P61019
P60763	Q9UNA1
P57088	Q99608
P15153	Q13177
P01033	Q13011
P12931	Q9UI08
P05113	Q8N6P7
O15062	Q15834
Q96JP2	Q9Y620
P49842	Q07864
O14544	Q08334
Q7Z2G1	Q96KK5
P31947	Q9H6H4
P30050	P61927
P17947	P43119
P63096	Q01668
P08107	Q9Y4K3
P48634	Q10570
O43395	O75940
Q03164	Q99496
P41240	Q14108
Q15287	Q9NWU2
P05412	Q14457
P10415	Q16611
P03372	Q13547
P26368	P52597
P08908	P28221
P19875	P58012
Q09472	Q9UBN7
P13637	P42338
P49427	P62140
P06493	P15927
Q13535	Q9H6E5
P33778	P51965
P05019	P14616
P23677	P27482
Q16513	Q4KWH8
P18146	Q9NQ25
Q5D1E8	Q9NZD4
P13645	P84022
P01116	Q13009
O96013	Q92730
P38405	Q8NH87
Q86SQ4	Q9Y4K3
P05771	P62993
P00519	Q14247
P53350	Q9UKA1
P78362	Q7L014
O94874	P51965
O60503	P62879
P09874	P13489
P23458	P31939
P05067	Q05193
P61956	Q9UJU2
O00144	P35222
P49674	Q9Y620
Q8IUQ4	Q9HD26
O95298	P51970
O14924	P05106
O60840	P16520
O95751	Q5VWN6
P06400	P39880
P32004	Q15418
O15264	P18669
P06899	P09874
Q13285	Q9NPJ4
O95863	Q96NG3
Q92905	Q9NZQ3
O15524	Q15116
P62979	Q9H2S5
O00203	P32121
Q99417	Q9HCK5
O75943	P40938
P40763	Q13315
P05387	Q13233
P48047	Q9Y4K3
P07948	P27361
O43676	P03915
P16144	P42574
P84022	Q9NQ87
P16520	Q92633
O00291	P53680
P17544	Q8WYK2
P10827	Q00403
P18146	Q96T37
P40337	Q99471
P36405	Q5T3J3
P21796	P56537
O95067	P61981
P06239	Q13761
Q13573	Q9H0H5
P53778	Q9H1R3
O75478	Q9H8E8
O00574	P32121
O15417	Q14457
P18564	Q17RW2
P63261	Q13077
P35626	Q8NGT5
Q12906	Q99873
P17081	Q9P107
P51817	Q08493
P35606	P49798
P19875	P27487
P31152	P53355
O43306	P63096
P11142	P49368
Q13315	Q8IZL8
P84090	Q15047
Q9Y4Y9	Q9Y4Z0
P36956	Q9Y478
Q7Z4H7	Q9NVX0
P55957	Q9HC29
P48736	Q9Y259
Q07889	Q13683
P23396	Q96HC4
P01106	Q9BVK8
P46934	Q16655
P09529	Q8NER5
P48549	P59768
B5ME96	P43405
P01111	Q8IV61
Q07021	Q9HBU1
O14654	P00533
P36578	P62888
P98177	Q92793
P08172	Q9UK08
O96019	Q969G3
O00141	P15311
Q7Z408	Q9H2G2
O43427	Q9H0A6
O43678	O95168
P04183	P62328
P01106	Q9HC56
Q13009	Q13153
Q15208	Q9Y5B0
P06241	Q14185
P04637	Q96M61
O75800	Q8IUQ4
P62195	Q92753
P46527	P51948
Q3B7T1	Q9H840
P30153	Q66LE6
P57678	Q99459
Q13625	Q9HBG4
P01562	P26992
P04628	P78504
Q99759	Q9UHB6
O00629	P19838
P21802	P52798
P63261	Q96A32
P35968	Q9HCT0
Q04637	Q13283
Q05193	Q12965
P35249	P35250
P01700	P01857
P08575	P09619
O00571	Q7Z6M2
O95760	Q01638
Q9UJX2	Q9UM13
Q16877	Q9Y478
P63211	Q5JWF2
Q05513	Q8TCC7
Q9HAU4	Q9NYS0
O14526	Q05516
P62140	Q9Y572
P04070	P67870
P20936	P43405
O75116	Q13573
O15162	P05413
P30559	Q7Z3S7
Q15834	Q8N715
P27986	P55157
O43889	Q9Y243
P06400	Q09028
P63267	Q08043
O15371	Q15788
Q8TEW0	Q9NSI5
Q70Z53	Q9UHR5
O75925	Q15797
P01111	P05106
P60520	Q8WZA9
P38405	Q8N148
P35626	Q6IF63
Q8TD31	Q9BUZ4
P06401	P53779
P45985	P49407
P19438	P25705
Q9BQD3	Q9H8S9
P05013	Q01113
O14908	Q6P996
Q13257	Q8NHZ8
O14920	Q8WXC3
P35236	P53779
P17612	Q99941
P62330	Q13347
P30260	Q8NHZ8
P24385	Q9NS23
O75604	Q00653
Q8NHY6	Q9H7E9
P18146	P51825
P01100	Q13469
P18621	P32969
P20963	Q9Y2R2
P42229	P62879
P01589	P20809
P63104	Q96J92
P0C0S8	Q92769
P48059	Q96KQ7
P07237	Q03518
Q8TD31	Q8TEY7
P13945	P63092
P48634	Q14697
P25025	P78423
P01871	P02751
Q53TQ3	Q6PI98
O95704	P20338
P07384	P41222
Q14194	Q96AE4
P16220	Q9P2F5
O00507	Q5VTR2
P27986	P61978
A4D0S4	P23229
Q92569	Q9Y4H2
Q06413	Q92905
Q13501	Q13573
P63104	Q9HCI7
P04899	P35346
Q8WYR1	Q9UN42
P29353	Q9BPY3
O60503	P22612
P11831	P52943
P23588	Q9H9G7
P16870	Q12873
P40763	Q06187
O95376	P21246
P07947	P10721
P27348	Q6ICG6
P26951	P40933
Q13797	Q9UKX5
O00501	P56748
Q14517	Q86YM7
A6NM45	P56748
P26010	Q9NVD7
P06703	P62993
O60763	P49257
Q15834	Q9BT49
Q9NYJ8	Q9Y230
Q13418	Q7RTX8
O15524	Q08334
O00160	Q01844
P21860	P42681
P04629	Q9ULH0
Q07157	Q9NYL2
P01040	P21246
P08631	P20936
P13224	P48736
P19387	Q6P2C8
P01571	Q5VWK5
P29372	P51665
Q9NPJ1	Q9UNE7
P26010	P53420
P08887	P40225
O00221	O95816
P62158	Q15653
P04637	P67775
P04049	P61981
P50151	P53779
O75251	Q9Y6M9
P62877	Q4G163
O60674	Q92783
P04049	Q13164
P16220	Q9NPA2
O95047	P32121
P63261	Q15628
P15336	P19838
P31749	Q14397
O95295	Q15796
O15455	Q8N5C8
O60404	P32121
P21854	Q8WV28
P23284	P49069
O43318	Q99836
P17066	Q00653
O60739	P47914
P27986	Q96B97
O95757	Q15853
P17947	P29590
P05771	P60709
P04222	Q99873
P06241	P11137
O95793	P60709
P29275	P38405
P01111	P04629
O00626	P49238
Q12824	Q9NRR5
Q15287	Q9UQ88
Q15834	Q8NHQ1
P00519	Q02218
O14827	P61952
P25024	Q8NHW4
P32302	P51671
Q6P1J9	Q8NEZ4
P08311	P48595
P04626	P27361
P42771	Q09472
P17535	P24385
O60674	O75886
Q8TEQ6	Q99683
P01889	Q14166
P01106	Q9UHV9
P16220	Q9BXW9
P46094	P63096
O75400	P61981
P01106	P49281
P01106	Q9BSQ5
Q8IY92	Q96EE3
Q6IAA8	Q9GZT6
P07199	Q9UK32
Q00613	Q9Y2Z0
P10721	Q92529
P15153	Q13009
Q5VVX9	Q8NG27
P15336	P53779
